"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMalloc","6","46387492","7731248","83.0769676023142"
"hipMemcpy","6","4794633","799105","8.58687446189129"
"hipLaunchKernel","2","4423209","2211604","7.9216783436204"
"hipFree","6","143981","23996","0.257860564488996"
"hipDeviceSynchronize","2","74131","37065","0.13276377790218"
"hipGetDeviceProperties","2","9180","4590","0.0164407802557906"
"__hipPopCallConfiguration","2","1400","700","0.00250730853574149"
"__hipPushCallConfiguration","2","1100","550","0.00197002813522545"
"hipGetDevice","1","900","900","0.0016118412015481"
"hipGetLastError","2","740","370","0.00132529165460621"
"Total","31","55836766","1801186","100.0"
